instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
Washington State University,Pacific-12 Conference,Washington,2014,23604,10104638,68141258,54426818,11386
Washington State University,Pacific-12 Conference,Washington,2013,23604,6589083,52713246,47722778,12326
Washington State University,Pacific-12 Conference,Washington,2012,23604,9067120,49461819,44065509,12300
Washington State University,Pacific-12 Conference,Washington,2011,23604,12233620,43089625,42417443,10799
Washington State University,Pacific-12 Conference,Washington,2010,23604,10128017,41212511,42627488,9489
University of Washington-Seattle Campus,Pacific-12 Conference,Washington,2014,38327,3549679,86097137,100275187,12394
University of Washington-Seattle Campus,Pacific-12 Conference,Washington,2013,38327,3373574,77068317,86031104,12397
University of Washington-Seattle Campus,Pacific-12 Conference,Washington,2012,38327,3161344,76142090,85177151,12428
University of Washington-Seattle Campus,Pacific-12 Conference,Washington,2011,38327,2608672,72034241,74506610,10826
University of Washington-Seattle Campus,Pacific-12 Conference,Washington,2010,38327,2364172,66771129,69364185,8973
West Virginia University,Big 12 Conference,West Virginia,2012,25796,4631661,95875682,82568138,6090
West Virginia University,Big 12 Conference,West Virginia,2011,25796,4631462,65465981,64131357,5674
West Virginia University,Big 12 Conference,West Virginia,2010,25796,4609413,61319563,67193055,5406
University of Wisconsin-Madison,Big Ten Conference,Wisconsin,2014,38428,8073360,125096235,127910918,10410
University of Wisconsin-Madison,Big Ten Conference,Wisconsin,2013,38428,7948202,148311082,150821258,10403
University of Wisconsin-Madison,Big Ten Conference,Wisconsin,2012,38428,7350296,105472893,107048495,10384
University of Wisconsin-Madison,Big Ten Conference,Wisconsin,2011,38428,7678502,101444336,102149654,9665
University of Wisconsin-Madison,Big Ten Conference,Wisconsin,2010,38428,5941752,99938349,104032517,8983
Purdue University-Main Campus,Big Ten Conference,Indiana,2014,34871,0,76321484,71372206,10002
Purdue University-Main Campus,Big Ten Conference,Indiana,2013,34871,0,76184531,73194637,9992
Purdue University-Main Campus,Big Ten Conference,Indiana,2012,34871,0,71628329,72832502,9900
Purdue University-Main Campus,Big Ten Conference,Indiana,2011,34871,0,63282774,70232514,9478
