instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
Georgia Southern University,Sun Belt Conference,Georgia,2011,16767,8673448,11895134,11930066,6606
Georgia Southern University,Sun Belt Conference,Georgia,2010,16767,8150826,11021456,11184663,6240
Georgia State University,Sun Belt Conference,Georgia,2014,23677,20692717,27488640,27093316,10240
Georgia State University,Sun Belt Conference,Georgia,2013,23677,22857618,27568170,27022947,9928
Georgia State University,Sun Belt Conference,Georgia,2012,23677,21934989,26754464,25307805,9664
Georgia State University,Sun Belt Conference,Georgia,2011,23677,20583555,24543623,24289324,9410
Georgia State University,Sun Belt Conference,Georgia,2010,23677,18645826,18627090,21160270,8698
University of Louisiana at Lafayette,Sun Belt Conference,Louisiana,2014,13221,5649393,21542643,21297114,6949
University of Louisiana at Lafayette,Sun Belt Conference,Louisiana,2013,13221,7766559,18862414,18318392,6192
University of Louisiana at Lafayette,Sun Belt Conference,Louisiana,2012,13221,7763602,18080742,17986196,5404
University of Louisiana at Lafayette,Sun Belt Conference,Louisiana,2011,13221,6182187,14795167,14382166,4857
University of Louisiana at Lafayette,Sun Belt Conference,Louisiana,2010,13221,7067041,13386183,13302177,4456
University of South Alabama,Sun Belt Conference,Alabama,2014,12028,17883165,22960759,23091728,8610
University of South Alabama,Sun Belt Conference,Alabama,2013,12028,16711287,20053424,21353397,8310
University of South Alabama,Sun Belt Conference,Alabama,2012,12028,16017897,19405134,19656528,7950
University of South Alabama,Sun Belt Conference,Alabama,2011,12028,14839879,17589504,18493206,7380
University of South Alabama,Sun Belt Conference,Alabama,2010,12028,14874867,16660631,17808130,6810
The University of Texas at Arlington,Sun Belt Conference,Texas,2014,19318,10152846,13068075,11781630,8878
The University of Texas at Arlington,Sun Belt Conference,Texas,2013,19318,9841080,14128032,11539793,8878
The University of Texas at Arlington,Sun Belt Conference,Texas,2012,19318,8828573,11106863,9981367,8878
The University of Texas at Arlington,Sun Belt Conference,Texas,2011,19318,8469353,9927422,9858324,8878
The University of Texas at Arlington,Sun Belt Conference,Texas,2010,19318,8174308,9647213,9311265,8500
Texas State University,Sun Belt Conference,Texas,2014,28185,23570803,28378049,32190191,9516
Texas State University,Sun Belt Conference,Texas,2013,28185,21270197,28002860,30100032,9151
Texas State University,Sun Belt Conference,Texas,2012,28185,19607364,26235207,27727384,8772
Texas State University,Sun Belt Conference,Texas,2011,28185,17361044,21519386,23064984,8232
Texas State University,Sun Belt Conference,Texas,2010,28185,15264597,21413732,20890086,7838
Troy University,Sun Belt Conference,Alabama,2014,10334,17834972,24628741,24628741,9680
Troy University,Sun Belt Conference,Alabama,2013,10334,16238230,22519452,22519452,9416
Troy University,Sun Belt Conference,Alabama,2012,10334,12005996,17020691,17020691,9070
Troy University,Sun Belt Conference,Alabama,2011,10334,8569351,16174851,16174851,7990
Troy University,Sun Belt Conference,Alabama,2010,10334,9965589,17097309,17097309,7350
Indiana University-Purdue University-Fort Wayne,The Summit League,Indiana,2014,7537,5428905,7629868,7393037,7949
Indiana University-Purdue University-Fort Wayne,The Summit League,Indiana,2013,7537,6173163,7631799,7967707,7793
Indiana University-Purdue University-Fort Wayne,The Summit League,Indiana,2012,7537,5445973,7310151,7319468,7640
Indiana University-Purdue University-Fort Wayne,The Summit League,Indiana,2011,7537,5522246,7199465,7174656,7454
Indiana University-Purdue University-Fort Wayne,The Summit League,Indiana,2010,7537,4966090,6951124,7120930,7273
Indiana University-Purdue University-Indianapolis,The Summit League,Indiana,2014,21097,7184587,8350718,8179405,8909
Indiana University-Purdue University-Indianapolis,The Summit League,Indiana,2013,21097,6516170,7359579,7390757,8756
Indiana University-Purdue University-Indianapolis,The Summit League,Indiana,2012,21097,6342521,7239026,7226297,8605
Indiana University-Purdue University-Indianapolis,The Summit League,Indiana,2011,21097,6097522,6866217,6891419,8243
Indiana University-Purdue University-Indianapolis,The Summit League,Indiana,2010,21097,5386140,6421255,6307802,7885
University of Nebraska at Omaha,The Summit League,Nebraska,2014,10374,9243641,13693874,13693874,6632
University of Nebraska at Omaha,The Summit League,Nebraska,2013,10374,8020302,12845203,12845203,7313
University of Nebraska at Omaha,The Summit League,Nebraska,2012,10374,7514780,12465800,12262246,7173
University of Nebraska at Omaha,The Summit League,Nebraska,2011,10374,7878189,15817662,13954469,7027
University of Nebraska at Omaha,The Summit League,Nebraska,2010,10374,8396891,13017484,13133628,6626
North Dakota State University-Main Campus,The Summit League,North Dakota,2014,11798,7994050,20618838,20712638,7820
North Dakota State University-Main Campus,The Summit League,North Dakota,2013,11798,7894127,18913630,19073956,7540
North Dakota State University-Main Campus,The Summit League,North Dakota,2012,11798,7488847,17357691,17351569,7233
North Dakota State University-Main Campus,The Summit League,North Dakota,2011,11798,7756963,16285739,16203014,7175
North Dakota State University-Main Campus,The Summit League,North Dakota,2010,11798,7720425,15625028,15671077,6731
University of South Dakota,The Summit League,South Dakota,2014,6031,10697633,14686675,14879307,8022
University of South Dakota,The Summit League,South Dakota,2013,6031,7379925,11146402,11150200,8022
University of South Dakota,The Summit League,South Dakota,2012,6031,6787007,10465299,10435817,7704
University of South Dakota,The Summit League,South Dakota,2011,6031,5903968,9509995,9509995,7209
University of South Dakota,The Summit League,South Dakota,2010,6031,5520884,8400866,8287199,6762
South Dakota State University,The Summit League,South Dakota,2014,9146,8506913,15700589,15617366,7713
South Dakota State University,The Summit League,South Dakota,2013,9146,7771787,15249601,15319445,7713
South Dakota State University,The Summit League,South Dakota,2012,9146,8123085,14556414,14545920,7404
South Dakota State University,The Summit League,South Dakota,2011,9146,8234256,13904741,13871580,7209
South Dakota State University,The Summit League,South Dakota,2010,9146,7916799,13373065,13195775,6444
Western Illinois University,The Summit League,Illinois,2014,9605,9118895,13025873,12098077,11283
Western Illinois University,The Summit League,Illinois,2013,9605,9116598,12230279,11787158,10940
Western Illinois University,The Summit League,Illinois,2012,9605,8957618,11456630,11591731,10444
Western Illinois University,The Summit League,Illinois,2011,9605,8742391,11065443,11492083,9981
Western Illinois University,The Summit League,Illinois,2010,9605,8466843,10807041,10853133,9490
University of Missouri-Kansas City,Western Athletic Conference,Missouri,2014,9917,9592075,13904761,11467676,9476
University of Missouri-Kansas City,Western Athletic Conference,Missouri,2013,9917,9610625,12646286,11361659,9456
University of Missouri-Kansas City,Western Athletic Conference,Missouri,2011,9917,7814661,11825155,9548981,9029
University of Missouri-Kansas City,Western Athletic Conference,Missouri,2010,9917,9316280,12671206,11998473,8602
New Mexico State University-Main Campus,Western Athletic Conference,New Mexico,2014,13006,20353201,29513451,29287917,6573
New Mexico State University-Main Campus,Western Athletic Conference,New Mexico,2013,13006,19896684,28804949,30444553,6220
New Mexico State University-Main Campus,Western Athletic Conference,New Mexico,2012,13006,19797017,28283888,29452421,6040
New Mexico State University-Main Campus,Western Athletic Conference,New Mexico,2011,13006,19956608,27351783,28641053,5827
New Mexico State University-Main Campus,Western Athletic Conference,New Mexico,2010,13006,18350494,29241765,27550528,5400
Utah Valley University,Western Athletic Conference,Utah,2014,15755,9601419,10519095,11191569,5270
Utah Valley University,Western Athletic Conference,Utah,2013,15755,9005774,9824078,10166785,5086
Utah Valley University,Western Athletic Conference,Utah,2012,15755,8673130,9890146,9493582,4786
Utah Valley University,Western Athletic Conference,Utah,2011,15755,8641672,9800726,9654925,4584
Utah Valley University,Western Athletic Conference,Utah,2010,15755,7829802,8075886,8631419,4288
Alabama State University,Southwestern Athletic Conference,Alabama,2014,5182,10750355,14070309,14070309,8720
Alabama State University,Southwestern Athletic Conference,Alabama,2013,5182,12085874,14079382,14079382,8263
Alabama State University,Southwestern Athletic Conference,Alabama,2012,5182,9649713,12084728,12084728,7932
Alabama State University,Southwestern Athletic Conference,Alabama,2011,5182,8577066,11260204,11260204,7932
Alabama State University,Southwestern Athletic Conference,Alabama,2010,5182,7495705,9799865,9799865,7164
California State University-Long Beach,Big West Conference,California,2014,28440,10627432,16703391,16703611,6452
California State University-Long Beach,Big West Conference,California,2010,28440,8973147,14409282,14410118,4810
California State University-Long Beach,Big West Conference,California,2011,28440,10077510,15507707,15515280,6240
California State University-Long Beach,Big West Conference,California,2012,28440,10712621,16033564,16357018,6738
California State University-Long Beach,Big West Conference,California,2013,28440,10684248,15683876,15689629,6240
Texas Southern University,Southwestern Athletic Conference,Texas,2010,6936,8304807,10520405,10520405,7462
Texas Southern University,Southwestern Athletic Conference,Texas,2011,6936,8019142,10724138,10724138,7462
Texas Southern University,Southwestern Athletic Conference,Texas,2012,6936,9109466,10992647,10992647,7646
Texas Southern University,Southwestern Athletic Conference,Texas,2013,6936,9198906,21004576,10303751,7946
University of Maryland Eastern Shore,Mid-Eastern Athletic Conference,Maryland,2014,3601,4708513,5554601,5554601,7287
University of Maryland Eastern Shore,Mid-Eastern Athletic Conference,Maryland,2010,3601,4215283,4895042,4921641,6161
University of Maryland Eastern Shore,Mid-Eastern Athletic Conference,Maryland,2011,3601,4410478,5186669,5186669,6482
University of Maryland Eastern Shore,Mid-Eastern Athletic Conference,Maryland,2012,3601,5089498,5884445,5884445,6713
University of Maryland Eastern Shore,Mid-Eastern Athletic Conference,Maryland,2013,3601,4759385,5392265,5392265,6998
