unitid,"instnm","chronname","conference","city","state","nickname",year,"url",full_time_enrollment,inflation_adjusted_ticket_sales,inflation_adjusted_student_fees,inflation_adjusted_direct_state_govt_support,inflation_adjusted_direct_institutional_support,inflation_adjusted_indirect_facil_admin_support,inflation_adjusted_ncaa_distributions,inflation_adjusted_royalties,inflation_adjusted_tv_revenue,inflation_adjusted_endowments,inflation_adjusted_athletic_revenues,inflation_adjusted_other_revenues,inflation_adjusted_athletic_expenses,inflation_adjusted_subsidy,inflation_adjusted_subsidyproportion,inflation_adjusted_institutional_subsidy,inflation_adjusted_institutionalsubsidy_proportion,inflation_adjusted_net_revenue,inflation_adjusted_net_revenue_before_subsidy,inflation_adjusted_external_revenue,ticket_sales,student_fees,direct_state_govt_support,direct_institutional_support,indirect_facil_admin_support,ncaa_distributions,royalties,tv_revenue,endowments,athletic_revenues,other_revenues,athletic_expenses,subsidy,subsidyproportion,institutional_subsidy,institutionalsubsidy_proportion,net_revenue,net_revenue_before_subsidy,external_revenue,instate_tuition
126614,"University of Colorado Boulder","University of Colorado at Boulder","Pacific-12 Conference","Boulder","Colorado","Buffaloes",2013,"university-of-colorado-boulder-fy2013.pdf",26242,12113906,1531566,0,5417083,228730,19090973,4121457,0,613130,58991393,16487680,67074576,7177378,0.121668,5645813,0.0957057,-8083183,-15260561,51814016,11978981,1514507,0,5356747,226182,18878337,4075552,0,606301,58334345,16304039,66327497,7097436,0.121668,5582929,0.0957057,-7993152,-15090588,51236909,10529
126614,"University of Colorado Boulder","University of Colorado at Boulder","Pacific-12 Conference","Boulder","Colorado","Buffaloes",2012,"university-of-colorado-boulder-fy2012.pdf",26242,14258453,1603329,0,14605692,203978,4456808,5267756,168084,838121,58884093,18488077,55953627,16412999,0.278734,14809670,0.251505,2930467,-13482532,42471094,13826171,1554720,0,14162882,197794,4321688,5108050,162988,812711,57098868,17927563,54257246,15915396,0.278734,14360676,0.251505,2841622,-13073774,41183472,9482
126614,"University of Colorado Boulder","University of Colorado at Boulder","Pacific-12 Conference","Boulder","Colorado","Buffaloes",2011,"university-of-colorado-boulder-fy2011.pdf",26242,14338019,1656525,0,14581779,224499,10311645,5159401,169109,761187,64631905,18360037,62789556,16462803,0.254716,14806278,0.229086,1842349,-14620454,48169102,13515287,1561472,0,13745060,211617,9719951,4863349,159405,717509,60923253,17306517,59186620,15518149,0.254716,13956677,0.229086,1736633,-13781516,45405104,9152
126614,"University of Colorado Boulder","University of Colorado at Boulder","Pacific-12 Conference","Boulder","Colorado","Buffaloes",2010,"university-of-colorado-boulder-fy2010.pdf",26242,14556857,1711477,0,5964181,263996,10360272,4446705,168473,468977,53643341,16339853,52635282,7939654,0.148008,6228177,0.116103,1008059,-6931595,45703687,13438344,1579971,0,5505908,243711,9564214,4105031,155528,432942,49521517,15084338,48590915,7329590,0.148008,5749619,0.116103,930602,-6398988,42191927,8511
129020,"University of Connecticut","University of Connecticut","American Athletic Conference","Storrs","Connecticut","Huskies",2014,"university-of-cincinnati-fy2014.pdf",22482,10699311,9929474,0,17273557,0,11584048,12599042,1125435,149396,71519433,9434001,71396255,27203031,0.380359,17273557,0.241523,123178,-27079853,44316402,10699311,9929474,0,17273557,0,11584048,12599042,1125435,149396,71519433,9434001,71396255,27203031,0.380359,17273557,0.241523,123178,-27079853,44316402,12700
129020,"University of Connecticut","University of Connecticut","American Athletic Conference","Storrs","Connecticut","Huskies",2013,"university-of-cincinnati-fy2013.pdf",22482,8989649,9861752,0,9211510,0,13803581,10619222,1724204,220183,64049407,11563693,64135151,19073262,0.29779,9211510,0.143819,-85744,-19159006,44976145,8889522,9751911,0,9108912,0,13649836,10500945,1705000,217731,63336022,11434896,63420811,18860823,0.29779,9108912,0.143819,-84789,-18945612,44475199,12022
129020,"University of Connecticut","University of Connecticut","American Athletic Conference","Storrs","Connecticut","Huskies",2012,"university-of-cincinnati-fy2012.pdf",22482,11465751,9468950,0,8351228,0,10178877,10756682,1743189,84822,65554361,15332873,65824254,17820178,0.271838,8351228,0.127394,-269894,-18090072,47734183,11118137,9181874,0,8098039,0,9870278,10430565,1690340,82250,63566909,14868016,63828620,17279913,0.271838,8098039,0.127394,-261711,-17541624,46286996,11242
129020,"University of Connecticut","University of Connecticut","American Athletic Conference","Storrs","Connecticut","Huskies",2011,"university-of-cincinnati-fy2011.pdf",22482,11275152,9276965,0,6667680,0,13586956,10763083,1793638,147941,66929851,15360015,66828689,15944645,0.238229,6667680,0.0996219,101162,-15843483,50985206,10628171,8744642,0,6285081,0,12807321,10145485,1690717,139452,63089340,14478640,62993983,15029723,0.238229,6285081,0.0996219,95357,-14934366,48059617,10670
129020,"University of Connecticut","University of Connecticut","American Athletic Conference","Storrs","Connecticut","Huskies",2010,"university-of-cincinnati-fy2010.pdf",22482,12423646,9344516,0,6446886,0,10754858,12587811,1895437,150919,63375325,11817608,63238156,15791402,0.249173,6446886,0.101725,137169,-15654233,47583923,11469043,8626506,0,5951523,0,9928481,11620594,1749796,139323,58505719,10909572,58379090,14578029,0.249173,5951523,0.101725,126629,-14451400,43927690,10416
134097,"Florida State University","Florida State University","Atlantic Coast Conference","Tallahassee","Florida","Seminoles",2014,"florida-state-fy2014.pdf",34882,25550753,7980366,0,0,0,20760441,14873220,360000,3682634,104774474,35609694,102656275,7980366,0.0761671,0,0,2118199,-5862167,96794108,25550753,7980366,0,0,0,20760441,14873220,360000,3682634,104774474,35609694,102656275,7980366,0.0761671,0,0,2118199,-5862167,96794108,6592
134097,"Florida State University","Florida State University","Atlantic Coast Conference","Tallahassee","Florida","Seminoles",2013,"florida-state-fy2013.pdf",34882,20531446,7948262,0,0,0,20037885,11993227,358999,5252618,92411726,31900906,89476270,7948262,0.0860092,0,0,2935456,-5012806,84463464,20302766,7859734,0,0,0,19814702,11859646,355000,5194114,91382441,31545593,88479680,7859734,0.0860092,0,0,2902761,-4956973,83522707,6507
134097,"Florida State University","Florida State University","Atlantic Coast Conference","Tallahassee","Florida","Seminoles",2012,"florida-state-fy2012.pdf",34882,21017000,8022071,0,0,0,17394976,18815125,391021,0,103177541,37928369,93101493,8022071,0.0777502,0,0,10076048,2053977,95155470,20379815,7778861,0,0,0,16867602,18244695,379166,0,100049444,36778471,90278878,7778861,0.0777502,0,0,9770566,1991705,92270583,6402
134097,"Florida State University","Florida State University","Atlantic Coast Conference","Tallahassee","Florida","Seminoles",2011,"florida-state-fy2011.pdf",34882,19074698,7986267,0,0,0,14666842,13015196,402248,4375803,83359023,28616020,92242800,7986267,0.0958057,0,0,-8883777,-16870044,75372756,17980170,7528006,0,0,0,13825242,12268369,379167,4124714,78575788,26974001,86949804,7528006,0.0958057,0,0,-8374016,-15902022,71047782,5825
134097,"Florida State University","Florida State University","Atlantic Coast Conference","Tallahassee","Florida","Seminoles",2010,"florida-state-fy2010.pdf",34882,17088559,7495375,0,379132,0,14432273,12405350,378990,-17746,80594992,28794303,81469065,7874507,0.0977047,379132,0.00470416,-874074,-8748581,72720485,15775516,6919449,0,350000,0,13323332,11452153,349869,-16382,74402269,26581819,75209181,7269449,0.0977047,350000,0.00470416,-806912,-8076361,67132820,5238
134130,"University of Florida","University of Florida","Southeastern Conference","Gainesville","Florida","Gators",2014,"university-of-florida-fy2014.pdf",42490,22976195,2438135,1870307,0,0,20638137,9229339,8433500,10055552,124611305,67459192,113995897,4308442,0.034575,0,0,10615408,6306966,120302863,22976195,2438135,1870307,0,0,20638137,9229339,8433500,10055552,124611305,67459192,113995897,4308442,0.034575,0,0,10615408,6306966,120302863,6313
134130,"University of Florida","University of Florida","Southeastern Conference","Gainesville","Florida","Gators",2013,"university-of-florida-fy2013.pdf",42490,24920984,2501233,1993344,0,0,22981555,9319245,8284271,6003204,131475625,69759264,11559310,4494577,0.0341856,0,0,119916315,115421738,126981048,24643413,2473374,1971142,0,0,22725586,9215447,8192000,5936340,130011244,68982282,11430562,4444516,0.0341856,0,0,118580682,114136166,125566728,6263
134130,"University of Florida","University of Florida","Southeastern Conference","Gainesville","Florida","Gators",2012,"university-of-florida-fy2012.pdf",42490,24317961,2495693,1996970,0,0,22849062,8954066,8072231,-687472,124548108,63934355,114998800,4492664,0.0360717,0,0,9549307,5056643,120055444,23580698,2420030,1936427,0,0,22156333,8682600,7827500,-666629,120772106,61996018,111512311,4356457,0.0360717,0,0,9259795,4903338,116415649,6143
