no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1944,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.3,4.5,4,8.5,38,2.024
1647,F2,5,F2-5,RRS,R,std,rich,rich,f,1.6,5.5,3,8.5,38,2.024
2013,F2,2,F2-2,PSP,P,poor,std,poor,f,1.4,6.5,5,11.5,43,2.024
1937,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.3,4.5,4,8.5,44,2.024
1487,F2,1,F2-1,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,34,2.025
1854,F2,1,F2-1,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,38,2.025
1412,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,39,2.025
1973,F2,10,F2-10,PRR,P,rich,rich,poor,f,1.3,4.5,4,8.5,42,2.025
1860,F2,1,F2-1,PSP,P,poor,std,poor,f,1.6,5.5,4,9.5,,2.025
1779,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.5,4.5,5,9.5,,2.025
1827,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,38,2.026
1932,F2,4,F2-4,PSP,P,poor,std,poor,f,1.4,5.5,5,10.5,41,2.026
1696,F2,8,F2-8,RSS,R,std,std,rich,f,1.5,4.5,5,9.5,30,2.027
1410,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,36,2.027
1601,F2,3,F2-3,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,38,2.027
1790,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,39,2.027
2105,F2,7,F2-7,PPS,P,std,poor,poor,f,1.8,5.5,5,10.5,,2.027
1427,F2,3,F2-3,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,,2.027
1672,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.3,4.5,5,9.5,36,2.028
1527,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.7,3.5,4,7.5,45,2.028
1670,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.3,4.5,4,8.5,,2.028
1649,F2,6,F2-6,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,,2.028
1496,F2,1,F2-1,SSS,S,std,std,std,f,1.4,5.5,4,9.5,34,2.029
2100,F2,6,F2-6,PPS,P,std,poor,poor,f,1.7,5.5,4,9.5,35,2.029
1735,F2,8,F2-8,RRS,R,std,rich,rich,f,1.7,5.5,4,9.5,36,2.029
1467,F2,4,F2-4,RSR,R,rich,std,rich,f,1.9,4.5,4,8.5,41,2.029
1839,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.7,4.5,4,8.5,,2.029
1642,F2,5,F2-5,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,34,2.03
1881,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.7,4.5,4,8.5,40,2.03
2043,F2,2,F2-2,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,,2.03
1921,F2,4,F2-4,PSS,P,std,std,poor,f,1.4,5.5,3,8.5,,2.03
1436,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.7,3.5,4,7.5,,2.03
1694,F2,7,F2-7,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.03
1941,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.4,4.5,4,8.5,,2.031
1748,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.4,5.5,4,9.5,32,2.032
